Name,X,Y,Angle,Value,Package
ANT1,22.46,-7.20,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,12.33,-2.61,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-9.96,-7.73,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,11.81,1.14,0.00,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C11,3.61,-4.06,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,5.14,-1.93,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,10.02,-0.81,0.00,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C14,16.84,12.78,0.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,20.70,2.87,0.00,1.0uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C16,16.76,4.01,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,15.94,9.37,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,13.11,4.91,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,9.40,10.21,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,15.59,0.17,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-4.94,-10.43,0.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20,-5.67,0.75,0.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,-10.62,10.78,0.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,15.24,-16.77,0.00,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C23,-14.24,11.95,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-15.62,9.76,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,-16.10,-14.05,0.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27,-21.82,11.43,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,10.39,-12.36,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,10.80,-3.99,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-17.13,-16.58,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C31,1.18,-12.16,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C32,7.05,13.20,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C33,19.58,10.90,0.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34,12.61,7.09,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-20.87,9.59,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C38,-10.88,9.25,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C39,-15.22,15.66,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C4,13.55,-12.36,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,11.25,15.47,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,7.37,15.96,0.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,3.60,4.29,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,11.62,12.60,0.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,-1.07,4.32,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,-3.09,-2.37,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,1.24,-3.96,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-1.75,-10.01,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,1.07,7.62,90.00,ESP32_C6_LIBRARY_3_USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-2.45,-5.65,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-6.03,-15.02,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-14.31,2.78,0.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,-14.42,-4.52,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,-14.79,-10.04,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
